date,region,phenomena,county,pm10_quality,air_pressure,temperature,humidity
8/14/2023,Muntenia,['Caniculă'],B,23.988,1008.2,26.235,46.625
8/15/2023,Muntenia,"['Ploaie slabă', 'Caniculă']",B,22.214,1006.725,26.5025,47.85714286
8/16/2023,Muntenia,"['Fulger', 'Vijelie', 'Averse', 'Ploaie', 'Furtună', 'Caniculă', 'Disconfort termic', 'Vânt puternic']",B,25,1005.075,27.52,48.28571429
8/17/2023,Muntenia,"['Caniculă', 'Caniculă']",B,25.936,1004.2375,28.15,47
8/18/2023,Muntenia,['Caniculă'],B,24.24,1004.6375,28.69375,46.42857143
8/19/2023,Muntenia,"['Caniculă', 'Vijelie']",B,26.634,1005.35,28.53375,43.42857143
8/20/2023,Muntenia,"['Caniculă', 'Ploi', 'Fulgere']",B,26.774,1004.8625,29.2425,44.85714286
8/21/2023,Muntenia,"['Caniculă', 'Disconfort termic']",B,25.144,1004.5625,29.52625,47.71428571
8/22/2023,Muntenia,"['Caniculă', 'Caniculă', 'Caniculă', 'Caniculă', 'Averse']",B,24.35,1005.0375,30.275,48
8/23/2023,Muntenia,"['Caniculă', 'Furtună', 'Inundație', 'Caniculă', 'Furtună', 'Fulger', 'Averse torențiale', 'Grindină']",B,28.49,1003.475,30.68625,43.28571429
8/24/2023,Muntenia,"['Caniculă', 'Vijelie', 'Furtună', 'Grindină', 'Caniculă', 'Furtună', 'Furtună', 'Furtună', 'Furtună', 'Grindină', 'Vijelie']",B,27.706,1001.9625,29.21375,52.14285714
8/25/2023,Muntenia,"['Caniculă', 'Caniculă', 'Caniculă', 'Furtună', 'Grindină']",B,30.132,1001.975,28.4025,59.42857143
8/26/2023,Muntenia,"['Caniculă', 'Caniculă']",B,25.38,1001.1125,29.875,51.14285714
8/27/2023,Muntenia,['Caniculă'],B,26.722,1000.025,29.07125,44.85714286
8/28/2023,Muntenia,"['Caniculă', 'Caniculă', 'Caniculă', 'Averse', 'Caniculă']",B,26.088,997.4625,29.21,41.85714286
8/29/2023,Muntenia,"['Furtună', 'Vijelie', 'Grindină', 'Inundație', 'Caniculă', 'Furtună', 'Ploi torențiale', 'Grindină', 'Vijelie', 'Averse torențiale', 'Descărcări electrice', 'Intensificări ale vântului', 'Vijelii', 'Grindină']",B,29.664,993.7375,29.5575,42.42857143
8/30/2023,Muntenia,"['Furtună', 'Grindină', 'Fulger', 'Rafale puternice de vânt', 'Inundație', 'Instabilitate atmosferică', 'Instabilitate atmosferică', 'Furtună', 'Grindină', 'Vijelie']",B,29.902,992.9125,27.37875,55.85714286
8/31/2023,Muntenia,"['Furtună', 'Fulger', 'Inundație']",B,28.006,997.7125,25.38,64
9/1/2023,Muntenia,['Ploaie'],B,28.884,1003.8125,24.6375,56.14285714
9/2/2023,Muntenia,['Caniculă'],B,27.33,1007.5875,24.87625,50.14285714
9/3/2023,Muntenia,"['Averse', 'Fulger', 'Vânt placut', 'Furtună', 'Caniculă']",B,26.578,1005.9625,24.6175,55.28571429
9/4/2023,Muntenia,"['Inundație', 'Furtună', 'Vijelie']",B,27.272,1004.3375,20.81125,70.71428571
9/5/2023,Muntenia,['Vant puternic'],B,26.314,1007.1625,23.04875,50.14285714
9/6/2023,Muntenia,['Vant puternic'],B,25.24,1009.6125,23.3625,43.28571429
9/7/2023,Muntenia,['Caniculă'],B,24.842,1009.8625,23.51125,42.42857143
9/8/2023,Muntenia,['Secetă'],B,25.356,1009.1375,23.07,41.71428571
9/10/2023,Muntenia,"['Caniculă', 'Furtună']",B,24.316,1008.125,22.675,43.85714286
9/12/2023,Muntenia,['Secetă'],B,33.194,1004.3625,22.81375,50
9/13/2023,Muntenia,['Caniculă'],B,35.044,1004.3,24.06,53.28571429
9/14/2023,Muntenia,"['Caniculă', 'Furtună', 'Ploaie', 'Furtună', 'Inundație']",B,34.18,1002.3625,25.3125,49.85714286
9/15/2023,Muntenia,"['Furtună', 'Trăsnet', 'Averse', 'Secetă', 'Furtună', 'Grindină', 'Furtună', 'Fulger']",B,31.374,1004.5875,24.235,61.42857143
9/16/2023,Muntenia,"['Averse cu tunete și fulgere', 'Cantități mari de apă', 'Inundație']",B,21.28,1009.0625,21.67375,73.85714286
9/17/2023,Muntenia,['Ploi'],B,18.148,1010.0625,21.91125,64.85714286
9/18/2023,Muntenia,"['Caniculă', 'Secetă', 'Inundație']",B,22.648,1009.375,20.8225,59.85714286
9/19/2023,Muntenia,"['Caniculă', 'Ploi zgomotoase', 'Averse locale']",B,24.612,1005.8625,20.25375,61.28571429
9/20/2023,Muntenia,['Averse'],B,28.99,1004.7375,21.07,66.14285714
9/21/2023,Muntenia,"['Furtună', 'Ploi slabe', 'Averse']",B,32.79,1003.7,22.46375,62.71428571
9/22/2023,Muntenia,"['Caniculă', 'Caniculă']",B,36.062,1001.95,23.89875,63.14285714
9/23/2023,Muntenia,"['Caniculă', 'Averse']",B,36.6,1002.5,25.3225,60.42857143
9/24/2023,Muntenia,"['Caniculă', 'Furtună', 'Fenomene electrice', 'Vânt puternic', 'Inundație', 'Avalanșă', 'Vijelie', 'Grindină', 'Furtună', 'Fulger']",B,29.624,1002.8625,24.90375,66.14285714
9/25/2023,Muntenia,['Inundație'],B,36.13,1007.9125,23.89625,52.28571429
9/26/2023,Muntenia,"['Caniculă', 'Vânt puternic']",B,39.096,1009.1125,23.39,39.14285714
9/27/2023,Muntenia,['Vânt puternic'],B,35.536,1008.9,23.005,38.57142857
9/30/2023,Muntenia,['Caniculă'],B,30.708,1006.275,21.9875,42.85714286
10/1/2023,Muntenia,"['Caniculă', 'Brumă']",B,29.364,1005.7,21.1475,48.85714286
10/2/2023,Muntenia,"['Furtună', 'Fulger', 'Ploaie', 'Ploaie']",B,22.976,1010.5375,18.38625,58.28571429
10/4/2023,Muntenia,['Caniculă'],B,,1009.4625,19.84,57.5
10/5/2023,Muntenia,"['Furtună', 'Ploaie']",B,32.318,1011.2625,20.42875,53.42857143
10/6/2023,Muntenia,['Ceață'],B,38.342,1009.8875,19.02375,56.85714286
10/8/2023,Muntenia,"['Ploi', 'Vant puternic']",B,40.478,1001.675,17.04875,55
10/9/2023,Muntenia,"['Ploaie', 'Vânt puternic']",B,20.024,1010.425,13.0175,48.28571429
10/10/2023,Muntenia,['Viscol'],B,29.338,1007.6625,13.7025,52.57142857
10/12/2023,Muntenia,['Caniculă'],B,41.318,1010.1,15.09625,59.57142857
10/13/2023,Muntenia,['Caniculă'],B,53.91,1007.2625,17.1825,61
10/14/2023,Muntenia,"['Caniculă', 'Furtună', 'Ploaie']",B,51.118,1004.375,18.22125,62.85714286
10/15/2023,Muntenia,"['Ploaie', 'Ploaie', 'Vânt puternic']",B,38.362,996.275,18.8175,61.57142857
10/16/2023,Muntenia,"['Ploaie', 'Inundație']",B,10.942,1004.175,11.99,83.14285714
10/17/2023,Muntenia,"['Temperaturi sub normale', 'Innorari']",B,14.31,1009.45,10.29375,70.57142857
10/18/2023,Muntenia,['Caniculă'],B,13.35,1006.4,12.3425,68.14285714
10/19/2023,Muntenia,"['Soare', 'Temperaturi ridicate']",B,36.42,1001.4625,12.54,71.85714286
10/20/2023,Muntenia,"['Vreme frumoasă', 'Temperaturi ridicate', 'Vant puternic']",B,48.672,995.05,16.8875,63.71428571
10/21/2023,Muntenia,"['Ploaie', 'Vânt puternic']",B,57.04,997.8375,20.27,58.57142857
10/22/2023,Muntenia,"['Ploaie', 'Furtună']",B,42.594,1000.5375,19.9125,56.85714286
10/24/2023,Muntenia,['Ploi'],B,50.912,1002.975,16.86625,70
10/25/2023,Muntenia,"['Ploaie', 'Furtună']",B,47.15,994.075,18.66625,61.57142857
10/26/2023,Muntenia,['Caniculă'],B,29.706,991.9,18.915,71.57142857
10/27/2023,Muntenia,"['Ploi', 'Vânt puternic']",B,33.386,989.4,17.55,69.14285714
10/28/2023,Muntenia,['Ploaie'],B,19.042,993.9,18.90875,62.71428571
10/29/2023,Muntenia,"['Vreme frumoasă', 'Temperaturi ridicate']",B,25.694,1003.728571,16.39714286,65.83333333
10/30/2023,Muntenia,"['Caniculă', 'Inundație']",B,46.228,1006.1625,16.835,65.85714286
10/31/2023,Muntenia,['Ploaie'],B,61.43,1000.5625,16.33,68.85714286
11/1/2023,Muntenia,"['Ploi', 'Vant puternic']",B,28.51,999.3875,16.2325,61
11/2/2023,Muntenia,"['Ploaie', 'Ceată']",B,20.944,999.2,12.68625,77.14285714
11/3/2023,Muntenia,['Ploaie'],B,22.604,991.5375,14.13125,86
11/4/2023,Muntenia,"['Ploaie', 'Descărcări electrice', 'Vânt puternic', 'Furtună', 'Vijelie', 'Averse moderate', 'Descărcări electrice', 'Grindină', 'Vijelie', 'Grindină', 'Furtună', 'Inundație']",B,18.564,986.6625,14.66875,96
11/5/2023,Muntenia,"['Ploaie', 'Vant puternic', 'Averse']",B,20.038,989.775,14.1025,73.42857143
11/6/2023,Muntenia,"['Vreme caldă', 'Vânt puternic']",B,15.148,998.4125,14.905,75
11/7/2023,Muntenia,['Ploaie'],B,26.772,1006.9625,13.55625,75.57142857
11/8/2023,Muntenia,['Ploaie'],B,27.826,1002.1625,11.6375,88.14285714
11/9/2023,Muntenia,['Ger'],B,23.722,1008.2375,8.81625,76.71428571
11/10/2023,Muntenia,"['Vant intens', 'Ploi']",B,26.306,1004.4125,9.30875,78.42857143
11/11/2023,Muntenia,"['Ploaie', 'Vânt puternic', 'Vant puternic', 'Ninsori', 'Zapada', 'Ninsori', 'Ceata']",B,20.73,991.2625,11.26875,90.28571429
11/12/2023,Muntenia,"['Viscol', 'Viscol']",B,18.644,996.925,8.8825,68.14285714
11/13/2023,Muntenia,"['Ninsoare', 'Ploaie', 'Ploaie']",B,17.594,1003.7125,6.98375,68
11/14/2023,Muntenia,"['Ploaie', 'Vânt puternic']",B,19.604,1000.4875,10.52625,71.28571429
11/17/2023,Muntenia,"['Ploi', 'Lapoviță', 'Ninsori', 'Lapoviță', 'Ninsoare', 'Vânt puternic', 'Viscol', 'Ninsori']",B,21.226,999.6375,6.91375,86
11/18/2023,Muntenia,"['Ploi', 'Vant puternic', 'Lapovita', 'Ninsoare', 'Intensificari ale vantului', 'Precipitatii mixte si abundente', 'Intensificari ale vantului', 'Inundație', 'Avalanșă']",B,14.266,995.1125,6.6625,91.85714286
11/19/2023,Muntenia,['Vant puternic'],B,16.7,1001.5125,5.915,75
11/20/2023,Muntenia,"['Ploaie', 'Înnorări', 'Ploaie ușoară', 'Vânt puternic']",B,31.662,999.9375,4.1675,85.42857143
11/21/2023,Muntenia,"['Ploaie', 'Vânt activ']",B,28.264,999.3625,8.18125,83
11/22/2023,Muntenia,"['Ploi', 'Vânt activ']",B,18.308,1002.7125,7.82625,90.28571429
11/23/2023,Muntenia,"['Furtună', 'Fulger']",B,15.828,1008.875,4.76125,81.28571429
11/24/2023,Muntenia,"['Ploaie', 'Inundație', 'Avalanșă', 'Viscol', 'Ninsori']",B,15.272,990.1142857,7.875714286,84.66666667
11/25/2023,Muntenia,"['Ploi', 'Lapovita', 'Ninsori', 'Viscol', 'Polei', 'Ninsoare', 'Lapoviță', 'Vânt puternic']",B,12.018,981.8285714,5.118571429,95.16666667
11/26/2023,Muntenia,"['Viscol', 'Precipitații']",B,11.844,984.1,2.072857143,82.33333333
11/27/2023,Muntenia,"['Furtună', 'Polei', 'Ploi', 'Lapoviță']",B,12.808,998.6,1.55,67.85714286
11/28/2023,Muntenia,"['Ploi', 'Lapoviță', 'Polei', 'Vânt puternic', 'Viscol']",B,14.628,989.65,2.6475,81.28571429
11/29/2023,Muntenia,"['Vreme frumoasă', 'Vânt activ', 'Închidere de nori', 'Temperaturi scăzute']",B,11.59,991.475,4.7825,84.14285714
11/30/2023,Muntenia,"['Ploi', 'Vant puternic']",B,23.798,1002.95,1.505,82.14285714
12/1/2023,Muntenia,"['Caniculă', 'Furtună', 'Fulger', 'Ninsori']",B,34.122,995.9,5.04,77
12/2/2023,Muntenia,"['Inundație', 'Avalanșă', 'Inundație']",B,50.402,992.0375,9.1575,79.57142857
12/3/2023,Muntenia,"['Ploaie', 'Vânt puternic']",B,23.722,999.5857143,7.735714286,82.16666667
12/4/2023,Muntenia,['Ger'],B,18.85,1013.075,1.495,80.57142857
12/5/2023,Muntenia,['Ploi'],B,26.314,1008.3875,1.625,90
12/6/2023,Muntenia,"['Ceata', 'Ploi', 'Lapoviță', 'Ninsoare', 'Ploaie', 'Polei']",B,19.598,1002.725,5.19125,93.85714286
12/7/2023,Muntenia,"['Ninsori', 'Lapoviță', 'Ploaie', 'Inundație', 'Avalanșă', 'Polei']",B,12.838,1005.175,0.6425,97.28571429
12/8/2023,Muntenia,['Ceață'],B,18.966,1007.5625,0.2675,95.85714286
12/9/2023,Muntenia,"['Cer acoperit', 'Ceata', 'Precipitatii slabe', 'Polei']",B,20.832,1008.225,0.13625,96.14285714
12/10/2023,Muntenia,"['Burniță', 'Ceată', 'Polei']",B,15.964,1005.1,1.08875,92.14285714
12/11/2023,Muntenia,"['Burnită', 'Polei', 'Ploaie', 'Inundație']",B,22.892,1003.6875,1.5775,93.71428571
12/12/2023,Muntenia,"['Înnorări', 'Ploi slabe', 'Ceață']",B,18.38,1000.9125,3.7125,93.85714286
12/13/2023,Muntenia,"['Ceață', 'Ploaie', 'Vânt', 'Inundație', 'Ploi slabe']",B,18.57,997.3125,3.16375,96.71428571
12/14/2023,Muntenia,"['Ploaie', 'Vânt activ']",B,31.354,993.6875,5.95625,93.28571429
12/15/2023,Muntenia,"['Fulger', 'Ploaie', 'Vant puternic']",B,17.216,1010.6125,4.34375,90.28571429
12/16/2023,Muntenia,"['Cer acoperit', 'Lapovita']",B,16.808,1022.25,2.92125,73.85714286
12/17/2023,Muntenia,['Ceată'],B,17.728,1024.1125,0.68375,93.28571429
12/18/2023,Muntenia,"['Ceata', 'Ghețuș', 'Ceață', 'Ninsoare']",B,23.868,1017.6125,3.065,88.28571429
12/19/2023,Muntenia,['Ceata'],B,42.598,1011.8375,3.89375,87.14285714
12/20/2023,Muntenia,['Ceață'],B,55.642,999.775,3.73125,90
12/21/2023,Muntenia,"['Ceata', 'Ghetuș', 'Viscol', 'Vant puternic', 'Ploi slabe']",B,50.64,994.1,3.955,85.85714286
12/22/2023,Muntenia,"['Vant puternic', 'Ploi', 'Lapovita', 'Ninsori']",B,23.944,983.0625,3.67125,80.57142857
12/23/2023,Muntenia,"['Viscol', 'Ploaie']",B,12.79,986.325,5.09125,69.14285714
