date,region,phenomena,county,pm10_quality,air_pressure,temperature,humidity
2009-02-19,Banat,"['Snow', 'Wind']",TM,51.63,995.4,-4.095,85.5
2009-02-19,Dobrogea,"['Rain', 'Sleet', 'Wind', 'Snow', 'Flood', 'Fog']",CT,21.52,1005.875,6.745,96.75
2009-02-19,Moldova,"['Snow', 'Frost', 'Rain', 'Sleet', 'Wind', 'Flood', 'Blizzard', 'Fog']",IS,44.6,1010.7,-0.935,99.0
2009-02-19,Muntenia,"['Snow', 'Sleet', 'Rain', 'Wind', 'Flood', 'Freezing rain', 'Frost', 'Fog']",B,34.42857143,998.88,0.252,86.2
2009-02-20,Moldova,"['Wind', 'Snow']",IS,46.05,1014.1,-1.615,99.5
2009-02-20,Muntenia,"['Snow', 'Sleet', 'Wind']",B,19.28571429,1002.76,1.24,80.2
2009-02-21,Dobrogea,"['Snow', 'Lightning']",CT,15.99,1015.3,1.09,79.25
2009-02-21,Moldova,"['Snow', 'Lightning']",IS,35.37,1016.3,-1.42,99.5
2009-02-21,Muntenia,"['Snow', 'Lightning']",B,31.57142857,1009.96,0.156,87.6
2009-02-21,Transilvania,['Snow'],BV,26.53,954.85,-2.9275,84.0
2009-02-22,Banat,['Snow'],TM,44.125,1007.7,-5.745,87.5
2009-02-22,Dobrogea,"['Cloudiness', 'Snow']",CT,8.96,1016.5,-0.115,68.5
2009-02-22,Moldova,['Snow'],IS,29.74,1015.0,-2.315,96.5
2009-02-22,Muntenia,"['Snow', 'Fog']",B,29.28571429,1010.0,-1.51,89.4
2009-02-22,Transilvania,"['Snow', 'Fog', 'Frost']",BV,36.07,952.75,-3.79,72.75
2009-02-23,Dobrogea,"['Rain', 'Sleet']",CT,23.37,1013.15,0.1225,68.0
2009-02-23,Muntenia,"['Lightning', 'Fog']",B,33.71428571,1005.1,-0.676,84.8
2009-02-23,Transilvania,"['Snow', 'Lightning']",BV,63.23,948.4,-4.06,74.5
2009-02-24,Banat,['Snow'],TM,85.3,999.9,-2.035,81.0
2009-02-24,Dobrogea,"['Sleet', 'Fog']",CT,18.98,1014.525,1.3725,77.0
2009-02-24,Moldova,"['Cold weather', 'Snow', 'Drizzle']",IS,54.94,1013.0,-1.42,94.5
2009-02-24,Muntenia,"['Snow', 'Fog']",B,48.42857143,1007.6,-0.834,78.4
2009-02-24,Oltenia,['Fog'],DJ,87.78,1016.0,-1.56,81.0
2009-02-24,Transilvania,"['Lightning', 'Snow', 'Drizzle']",BV,100.84,950.475,-5.7875,76.75
2009-02-25,Banat,"['Cloudiness', 'Snow']",TM,110.42,1011.45,-1.105,88.5
2009-02-25,Dobrogea,"['Snow', 'Wind']",CT,25.83,1020.725,0.245,81.75
2009-02-25,Moldova,"['Cold weather', 'Cloudiness']",IS,47.87,1018.7,-1.7,90.0
2009-02-25,Muntenia,"['Fog', 'Frost']",B,56.85714286,1013.96,-0.466,82.0
2009-02-25,Oltenia,['Lightning'],DJ,48.165,1017.3,-0.86,80.0
2009-02-25,Transilvania,"['Lightning', 'Cold weather', 'Snow', 'Frost']",BV,152.72,956.875,-4.3125,73.25
2009-02-26,Banat,['Snow'],TM,38.18,1006.5,-2.365,91.5
2009-02-26,Muntenia,['Snow'],B,65.14285714,1008.96,0.182,81.6
2009-02-26,Transilvania,['Snow'],BV,122.1,953.025,-1.8775,74.0
2009-02-27,Moldova,['Snow'],IS,118.22,1003.4,3.655,86.0
2009-02-27,Muntenia,['Sleet'],B,74.0,1000.32,1.302,81.6
2009-02-27,Oltenia,['Snow'],DJ,31.61,999.9,5.355,86.0
2009-02-27,Transilvania,['Snow'],BV,101.02,945.125,0.2725,80.0
2009-02-28,Banat,"['Snow', 'Rain']",TM,36.655,996.4,1.935,94.5
